rodada,atleta_id,apelido,clube_id,clube,posicao_id,posicao,pontuacao,entrou_em_campo,foto,G,A,FD,FF,DE,DS,FS,FC,CA,CV,GS,SG,I,DP,FT,PC,PP,PS,V
13,103445,Kaio Jorge,283,CRU,5,Atacante,26.2,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,3,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
13,96610,Matheus Pereira,283,CRU,4,Meia,16.7,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,0,2,1,1,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0
13,61188,Gilberto,286,JUV,5,Atacante,15.8,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,2,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
13,115239,Wesley,262,FLA,2,Lateral,14.7,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,0,1,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0
13,82627,Luiz Araújo,262,FLA,5,Atacante,14.2,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,1,0,1,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
13,106593,Villalba,283,CRU,3,Zagueiro,12.7,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,1,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0
13,86820,Reginaldo,286,JUV,2,Lateral,11.9,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
13,94044,John,263,BOT,1,Goleiro,11.5,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13,70360,Eduardo Sasha,280,RBB,5,Atacante,11.2,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13,101027,Diego,354,CEA,2,Lateral,11,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,0,0,0,0,0,3,3,0,0,0,0,1,0,0,0,0,0,0,0
13,39148,Hulk,282,CAM,5,Atacante,11,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,1,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
13,92171,Arthur Cabral,263,BOT,5,Atacante,10.7,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
13,141763,Fabiano Souza,354,CEA,2,Lateral,10.6,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,0,0,0,0,0,4,3,3,1,0,0,1,0,0,0,0,0,0,0
13,105949,Rochet,285,INT,1,Goleiro,10.2,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13,108713,Galeano,354,CEA,5,Atacante,10.2,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0
13,70216,Gustavo,286,JUV,1,Goleiro,10.2,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13,107093,Luciano Juba,265,BAH,2,Lateral,10.1,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,121792,André,284,GRE,5,Atacante,10.1,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,84558,Lucas Romero,283,CRU,4,Meia,10.1,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,0,1,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0
13,68928,Rafael,276,SAO,1,Goleiro,9.9,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,0,0,0,0,8,1,0,0,0,0,2,0,0,0,0,0,0,0,0
13,95131,Gabriel Taliari,286,JUV,5,Atacante,9.9,Sim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,0,1,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0
